store,Sum of longitude,Sum of latitude
"McDonalds PlayPlace-Carlsbad,CA",-117.32461,33.12305
"McDonalds PlayPlace-Carmichael,CA",-121.32832,38.6341
"McDonalds PlayPlace-Carson,CA",-118.26345,33.82969
"McDonalds PlayPlace-Castaic,CA",-118.622653,34.496554
"McDonalds PlayPlace-Castro Valley,CA",-122.0899,37.69192
"McDonalds PlayPlace-Cathedral City,CA",-116.455409,33.86113
"McDonalds PlayPlace-Ceres,CA",-120.93858,37.60908
"McDonalds PlayPlace-Chatsworth,CA",-118.58937,34.25709
"McDonalds PlayPlace-Chico,CA",-243.652191,79.47628
"McDonalds PlayPlace-Chino Hills,CA",-235.4425,67.94749
"McDonalds PlayPlace-Chino,CA",-117.68909,34.02416
"McDonalds PlayPlace-Chula Vista,CA",-702.31995,195.761557
"McDonalds PlayPlace-Citrus Heights,CA",-242.58435,77.41293
"McDonalds PlayPlace-City of Commerce,CA",-118.14185,33.99586
"McDonalds PlayPlace-Clovis,CA",-239.428172,73.689399
"McDonalds PlayPlace-Coalinga,CA",-120.363473,36.13662
"McDonalds PlayPlace-Colton,CA",-117.309161,34.047672
"McDonalds PlayPlace-Compton,CA",-236.428948,67.794517
"McDonalds PlayPlace-Concord,CA",-244.02865,75.91709
"McDonalds PlayPlace-Corning,CA",-122.198442,39.904952
"McDonalds PlayPlace-Corona,CA",-352.6474,101.63449
"McDonalds PlayPlace-Costa Mesa,CA",-353.76373,100.98592
"McDonalds PlayPlace-Covina,CA",-235.780276,68.183007
"McDonalds PlayPlace-Crescent City,CA",-124.194042,41.754992
"McDonalds PlayPlace-Crestline,CA",-117.26585,34.24558
"McDonalds PlayPlace-Culver City,CA",-118.40329,34.00077
"McDonalds PlayPlace-Cupertino,CA",-122.04128,37.3371
"McDonalds PlayPlace-Cypress,CA",-118.028459,33.815503
"McDonalds PlayPlace-Dana Point,CA",-117.68967,33.4655
"McDonalds PlayPlace-Davis,CA",-121.69702,38.5507
"McDonalds PlayPlace-Delano,CA",-119.24648,35.77608
"McDonalds PlayPlace-Diamond Bar,CA",-117.81087,34.02163
"McDonalds PlayPlace-Dinuba,CA",-119.376468,36.54557
"McDonalds PlayPlace-Dixon,CA",-121.84173,38.45735
"McDonalds PlayPlace-Downey,CA",-118.14813,33.92889
"McDonalds PlayPlace-Duarte,CA",-117.98135,34.13945
"McDonalds PlayPlace-Dublin,CA",-121.9232,37.70636
"McDonalds PlayPlace-East Hemet,CA",-116.95267,33.7475
"McDonalds PlayPlace-East La Mirada,CA",-117.994,33.93086
"McDonalds PlayPlace-East Los Angeles,CA",-354.488102,102.085557
"McDonalds PlayPlace-El Cajon,CA",-467.728217,131.243507
"McDonalds PlayPlace-El Centro,CA",-115.5697,32.7954
"McDonalds PlayPlace-El Monte,CA",-236.05332,68.16135
"McDonalds PlayPlace-Elk Grove,CA",-242.79747,76.83254
"McDonalds PlayPlace-Encinitas,CA",-234.52463,66.11298
"McDonalds PlayPlace-Encino,CA",-118.5174,34.16222
"McDonalds PlayPlace-Escondido,CA",-585.371357,165.504207
"McDonalds PlayPlace-Eureka,CA",-124.18995,40.777268
"McDonalds PlayPlace-Fairfield,CA",-122.12587,38.22253
"McDonalds PlayPlace-Fallbrook,CA",-117.2511,33.37316
"McDonalds PlayPlace-Folsom,CA",-363.52994,116.00002
"McDonalds PlayPlace-Fontana,CA",-234.94125,68.14854
"McDonalds PlayPlace-Foothill Ranch,CA",-117.665203,33.680666
"McDonalds PlayPlace-Fortuna,CA",-124.146489,40.583455
"McDonalds PlayPlace-Fountain Valley,CA",-117.953855,33.687548
"McDonalds PlayPlace-Fowler,CA",-119.68331,36.627169
"McDonalds PlayPlace-Fremont,CA",-122.03214,37.57098
"McDonalds PlayPlace-Fresno,CA",-838.546633,257.658508
"McDonalds PlayPlace-Fullerton,CA",-117.9594,33.85865
"McDonalds PlayPlace-Galt,CA",-121.29464,38.25306
"McDonalds PlayPlace-Garden Grove,CA",-707.71915,202.65149
"McDonalds PlayPlace-Gardena,CA",-118.30085,33.89132
"McDonalds PlayPlace-Gilroy,CA",-243.14667,74.01495
"McDonalds PlayPlace-Glendora,CA",-235.471311,68.235807
"McDonalds PlayPlace-Grass Valley,CA",-121.037703,39.237017
"McDonalds PlayPlace-Gridley,CA",-121.688044,39.360061
"McDonalds PlayPlace-Hacienda Heights,CA",-117.96607,34.01162
"McDonalds PlayPlace-Half Moon Bay,CA",-122.43373,37.46862
"McDonalds PlayPlace-Hanford,CA",-119.656479,36.342811
"McDonalds PlayPlace-Hawaiian Gardens,CA",-118.07526,33.83169
"McDonalds PlayPlace-Hawthorne,CA",-236.72021,67.81789
"McDonalds PlayPlace-Hayward,CA",-366.22649,112.92758
"McDonalds PlayPlace-Hercules,CA",-122.27052,38.00898
"McDonalds PlayPlace-Highland Park,CA",-118.19324,34.11892
"McDonalds PlayPlace-Highland,CA",-117.19838,34.12139
"McDonalds PlayPlace-Hollister,CA",-121.38932,36.83704
"McDonalds PlayPlace-Hollywood,CA",-118.37212,34.17227
"McDonalds PlayPlace-Huntington Beach,CA",-235.994133,67.347502
"McDonalds PlayPlace-Huntington Park,CA",-118.23135,33.97489
"McDonalds PlayPlace-Imperial Beach,CA",-117.10978,32.58365
"McDonalds PlayPlace-Indio,CA",-232.457649,67.45262
"McDonalds PlayPlace-Industry,CA",-117.91219,33.98973
"McDonalds PlayPlace-Inglewood,CA",-355.0276,101.82432
"McDonalds PlayPlace-Irvine,CA",-235.587661,67.364648
"McDonalds PlayPlace-Irwindale,CA",-117.934158,34.104561
"McDonalds PlayPlace-La Canada Flintridge,CA",-118.18776,34.19897
"McDonalds PlayPlace-La Habra,CA",-117.9697,33.9149
